FIPS,trump_vs_senate,trump_vs_house
6041,,-0.802723622
6043,,0.773218075
6045,,0.837040451
6047,,0.066255724
6049,,2.710305415
6051,,-1.33791521
6053,,4.470405015
6055,,4.093599368
6057,,-3.34460148
6059,,-5.611070067
6061,,-7.707249685
6063,,0.484911978
6065,,-9.581252764
6067,,-20.03920142
6069,,4.149836677
6071,,-5.08863928
6073,,-0.010780531
6075,,-5.794275884
6077,,1.060486195
6079,,-1.100023557
6081,,
6083,,-1.758261146
6085,,1.901612337
6087,,1.580502812
6089,,1.564483052
6091,,2.405713765
6093,,1.642208832
6095,,12.6832363
6097,,0.742684386
6099,,4.186091911
6101,,2.436583043
6103,,2.464302141
6105,,3.469591226
6107,,-3.977832666
6109,,0.11252374
6111,,-4.084571852
6113,,-5.248946622
6115,,1.033982118
8001,-1.373033474,2.778817158
8003,-0.21506755,-0.622846745
8005,-2.778754527,3.197373401
8007,-1.133904996,-0.32909224
8009,0.741237612,-1.385049515
8011,-0.659394975,-2.951011715
8013,-2.324088291,-14.12192146
8014,-3.494175751,-2.602702769
8015,-1.192000131,-3.213379306
8017,-1.195041914,-2.408869842
8019,-1.564763065,-0.788805816
8021,0.666158765,0.314757848
8023,0.714372487,0.924062743
8025,1.621105231,-1.991028171
8027,-0.869656054,-0.614352136
8029,-0.524308509,-0.399469515
8031,-2.233757007,-1.487902899
8033,0.24176476,-0.778829747
8035,-3.465583789,3.77947494
8037,-1.894721967,-3.192099442
8039,-1.363045724,-2.992786412
8041,-2.614984584,-4.228485664
8043,-0.397155442,-1.726276712
8045,-1.231996121,1.831486178
8047,-0.967797248,0.247861737
8049,-1.712012764,-1.464687494
8051,-2.164378106,-1.356544661
8053,-1.809210526,-1.464598997
8055,0.518475478,-0.426630157
8057,-0.896017117,-1.440780196
8059,-2.450543951,-11.45103925
8061,-0.357805765,-2.062207084
8063,-0.644125566,-3.048388594
8065,-0.328581811,0.374890879
8067,-1.704522341,-0.493651825
8069,-2.777455115,-1.880999392
8071,0.454955588,-0.899852236
8073,-1.229826523,-2.871841592
8075,-0.984073931,-3.013325185
8077,-1.6330893,-0.112783152
8079,-1.745438453,-1.269380515
8081,-0.703402796,-0.544212694
8083,-1.142783621,-0.757987383
8085,-1.29453099,-0.7166722
8087,-0.373119541,-2.938366162
8089,-1.147334011,-3.628583444
8091,-1.48485667,-0.795914491
8093,-0.913463425,-1.496034789
8095,-1.016781432,-2.978049472
8097,-1.440308795,-0.944275577
8099,-0.069882034,-2.361392418
8101,-0.460268615,-0.765441309
8103,-0.769735259,0.22016855
8105,0.201179656,-0.031857289
8107,-1.922459679,-0.681896198
8109,0.079263135,0.450225719
8111,-1.559235844,-1.29976943
8113,-1.966253797,-1.489530735
8115,1.450373821,-3.523876735
8117,-2.690103498,-2.101036027
8119,-1.127493714,-2.353168673
8121,-0.736325086,-2.011268083
8123,-1.680785546,-3.840984657
8125,-2.816363135,-3.137139073
9001,,-8.139009472
9003,,-3.086314848
9005,,1.57473941
9007,,1.157288645
9009,,-1.34303399
9011,,6.875979415
9013,,4.571190022
9015,,7.351726667
10001,1.154824882,-0.009690942
10003,1.710161375,-1.038228301
10005,1.127142894,-0.465086279
11001,,
12001,,-1.621350459
12003,,3.331286269
12005,,
12007,,1.471006564
12009,,-2.352015203
12011,,6.130187182
12013,,
12015,,-2.234269265
12017,,0.127638344
12019,,-0.086634516
12021,,-2.980517375
12023,,26.39086139
12027,,-0.760739543
12029,,
12031,,14.85350139
12033,,1.837675046
12035,,-1.825503903
12037,,
12039,,2.547491967
12041,,
12043,,-0.446280346
12045,,
12047,,3.355679738
12049,,2.282876088
12051,,
12053,,0.504192713
12055,,-1.307700487
12057,,-5.425277507
12059,,0.256423409
12061,,-2.968303872
12063,,
12065,,3.209918721
12067,,
12069,,6.519838062
12071,,-0.330034064
12073,,9.455643733
12075,,
12077,,
12079,,2.940869051
12081,,-1.611641868
12083,,-0.350939571
12085,,-5.143799909
12086,,-5.062249235
12087,,-0.420101773
12089,,1.063879512
12091,,0.91911657
12093,,-0.525396142
12095,,1.943083078
12097,,4.089632128
12099,,14.83756872
12101,,-3.329491685
12103,,2.923278015
12105,,-6.751580205
12107,,1.101881539
12109,,-2.345617336
12111,,-2.34456904
12113,,1.906683529
12115,,-7.620171652
12117,,1.13455448
12119,,-2.291821958
12121,,
12123,,
12125,,1.807538337
12127,,-1.817548668
12129,,
12131,,0.813927865
12133,,
13001,,-0.361640794
13003,-9.412552301,-2.165920826
13005,,-1.050730008
13007,-5.764168072,9.359515289
13009,-7.612163293,-1.976263663
13011,-3.052274741,-0.212079956
13013,-8.092259083,-1.130373045
13015,-5.951684166,-1.044152224
13017,-10.46017799,-1.984988868
13019,-5.721628112,-1.195622254
13021,-6.552116782,-17.41268647
13023,-5.501639284,-1.040499472
13025,,-0.157059262
13027,-17.91167985,-1.472256927
13029,-8.469529364,-2.765216989
13031,-9.53950421,-1.714489415
13033,-10.07362219,-1.563394526
13035,-5.813208115,-0.804653545
13037,-9.199778339,10.13675297
13039,-15.18553387,-0.675350682
13043,-7.119724063,-1.753414367
13045,-6.519414194,-1.895387999
13047,-11.62870526,-0.362942331
